advancement_rating,category,category_name,compensation_rating,culture_rating,management_rating,overall,type,worklife_balance_rating
3.03,,,2.83,2.95,2.57,3.06,default,2.83
2.8,101,호텔/여행/항공,2.32,2.68,2.42,2.72,company_category_101,2.62
2.86,102,외식업/식음료,2.36,2.69,2.61,2.88,company_category_102,2.43
2.69,103,웨딩/장례/이벤트,2.15,2.62,2.31,2.69,company_category_103,2.38
2.93,104,AS/카센터/주유,2.89,3.26,2.85,3.07,company_category_104,3.33
4.5,105,뷰티/미용,3,3.5,3,4,company_category_105,3.5
2.88,106,시설관리/경비/용역,2.57,2.81,2.76,2.98,company_category_106,2.94
2.9,107,레저/스포츠/여가,2.4,3.08,2.5,2.9,company_category_107,2.77
2.94,108,렌탈/임대,2.75,3,2.63,2.94,company_category_108,3.19
2.81,109,기타서비스업,2.81,3.06,2.88,3.19,company_category_109,3.19
2.92,201,전기/전자/제어,2.54,2.73,2.46,2.92,company_category_201,2.77
3.06,202,석유/화학/에너지,2.71,2.82,2.55,2.96,company_category_202,2.89
3.04,203,시품가공/개발,2.63,2.78,2.6,3,company_category_203,2.82
3.05,204,반도체/광학/LCD,2.77,2.89,2.69,2.94,company_category_204,2.88
3.04,205,섬유/의류/패션,2.55,2.75,2.61,2.98,company_category_205,2.71
3.25,206,환경,2.5,3.21,2.5,2.92,company_category_206,2.96
2.86,207,농업/어업/광업/임업,2.86,2.57,2.71,3.36,company_category_207,2.93
2.97,208,기계/설비/자동차,2.64,2.75,2.53,2.88,company_category_208,2.67
2.92,209,가구/목재/제지,2.68,2.9,2.65,2.84,company_category_209,2.81
3.29,210,조선/항공/우주,2.76,2.82,2.38,2.97,company_category_210,2.76
3.25,211,화장품/뷰티,2,2.5,2.88,2.75,company_category_211,2.88
2.94,212,금속/재료/철강/요업,2.65,2.7,2.52,2.98,company_category_212,2.86
2.96,213,생활용품/소비재/사무,2.39,2.74,2.43,3.04,company_category_213,2.48
3.19,214,기타제조업,2.7,2.94,2.81,3.23,company_category_214,3.17
3.04,301,의료,2.53,2.76,2.57,2.94,company_category_301,2.88
3.11,302,제약/보건/바이오,2.9,2.87,2.62,3.1,company_category_302,3.08
3.45,303,사회복지,2.64,3.32,2.91,3.5,company_category_303,3.32
2.94,401,판매유통,2.64,2.92,2.65,3.03,company_category_401,2.81
3.04,402,유통/무역/상사,2.67,2.89,2.66,3,company_category_402,2.93
3,403,운송/운수/물류,2.64,2.82,2.64,3.08,company_category_403,3.09
3.03,501,초중고/대학,2.7,3.01,2.69,3.21,company_category_501,3.24
3.29,502,유아/유치원,2.79,2.93,3.14,3.43,company_category_502,3
2.78,503,교재/학습지,2.41,2.81,2.3,2.73,company_category_503,2.81
2.85,504,학원/어학원,2.53,2.93,2.64,2.92,company_category_504,2.74
3.23,505,전문/기능학원,2.52,2.81,2.74,3.06,company_category_505,2.87
3.02,601,건설/건축/토목/시공,2.59,2.81,2.63,2.93,company_category_601,2.75
3.04,602,실내/인테리어/조경,2.47,2.92,2.49,2.81,company_category_602,2.49
3.07,603,환경/설비,2.38,2.64,2.31,2.64,company_category_603,2.69
2.93,604,부동산/임대/중개,2.5,2.94,2.81,2.95,company_category_604,3
3.07,701,웹에이젼시,2.33,3.04,2.47,2.76,company_category_701,2.65
3.15,702,포털/인터넷/컨텐츠,2.74,3.24,2.79,3.2,company_category_702,3.17
3.06,703,쇼핑몰/오픈마켓,2.5,3.02,2.63,2.92,company_category_703,2.88
3.15,704,네트워크/통신/모바일,2.94,3.15,2.64,3.24,company_category_704,3.12
3,706,정보보안/백신,2,2.67,2.5,2.83,company_category_706,2.5
3.01,707,솔루션/SI/ERP/CRM,2.65,2.96,2.55,3.04,company_category_707,2.96
2.63,708,IT컨설팅,2.5,3.38,2.63,3.13,company_category_708,3.25
3.12,709,게임,2.84,3.27,2.88,3.24,company_category_709,3.23
2.92,801,신문/잡지/언론사,2.58,3.14,2.69,3.06,company_category_801,3.17
2.61,802,방송사/케이블,2.34,2.78,2.2,2.78,company_category_802,2.8
2.92,803,연예/엔터테인먼트,2.58,3,2.83,3.08,company_category_803,2.67
3.21,804,광고/홍보/전시,2.61,3.04,2.73,3.07,company_category_804,2.61
2.86,805,영화/배급/음악,2.5,2.93,2.64,3.36,company_category_805,2.43
3,806,공연/예술/문화,2.37,3.03,2.5,2.97,company_category_806,2.77
2.98,807,출판/인쇄/사진,2.37,2.9,2.54,3,company_category_807,2.78
3.25,808,캐릭터/애니메이션,2.38,2.75,2.5,2.63,company_category_808,2.25
3.05,809,디자인/설계,2.28,2.72,2.66,2.81,company_category_809,2.53
3.15,901,은행/금융/저축,3.13,3.04,2.91,3.27,company_category_901,3.19
3.34,902,대출/캐피탈/여신,3,2.91,3.03,3.03,company_category_902,3.09
2.9,903,기타금융,2.9,2.88,2.56,3.02,company_category_903,3.07
3.14,904,증권/보험/카드,3.02,3.01,2.78,3.14,company_category_904,2.86
2.92,1001,정부/공공기관/공기업,2.81,3.05,2.77,3.24,company_category_1001,3.46
2.86,1002,협회/단체,2.58,2.92,2.62,3.15,company_category_1002,3.24
3.25,1003,법률/법무/특허,2.64,3.14,2.86,3.21,company_category_1003,3.29
3.47,1004,세무/회계,2.63,3.41,3.19,3.31,company_category_1004,2.88
3.2,1005,연구소/컨설팅/조사,2.77,3.22,2.77,3.19,company_category_1005,2.95
